Date,Open,High,Low,Close
2023-05-19,1.08528,1.09046,1.0759,1.08019
2023-05-12,1.10209,1.10537,1.08468,1.0847
2023-05-05,1.10178,1.10917,1.0941,1.10174
2023-04-28,1.09861,1.10954,1.0961,1.1014
2023-04-21,1.09926,1.09998,1.0908,1.0988
2023-04-14,1.08995,1.10759,1.083,1.0991
2023-04-07,1.08418,1.09733,1.0787,1.09014
2023-03-31,1.07645,1.09263,1.0743,1.08381
2023-03-24,1.06832,1.093,1.0629,1.07588
2023-03-17,1.06938,1.076,1.0515,1.06639
2023-03-10,1.06237,1.07007,1.0524,1.06387
2023-03-03,1.05451,1.06914,1.0531,1.06337
2023-02-24,1.06868,1.07046,1.0535,1.05437
2023-02-17,1.06807,1.08044,1.0611,1.06929
2023-02-10,1.07814,1.0799,1.0665,1.06754
2023-02-03,1.08644,1.10327,1.0791,1.07929
2023-01-27,1.08672,1.09294,1.0833,1.08649
2023-01-20,1.08333,1.08873,1.0765,1.08549
2023-01-13,1.06409,1.0868,1.0636,1.08302
2023-01-06,1.07031,1.07087,1.04816,1.06413
2022-12-30,1.061,1.07131,1.05965,1.07025
2022-12-23,1.0588,1.06594,1.0572,1.06172
2022-12-16,1.05281,1.07363,1.0504,1.05839
2022-12-09,1.053,1.05948,1.0441,1.05329
2022-12-02,1.03706,1.0545,1.0288,1.05325
2022-11-25,1.0323,1.04485,1.02206,1.0395
2022-11-18,1.03382,1.04818,1.0269,1.03235
2022-11-11,0.99055,1.03642,0.99013,1.03538
2022-11-04,0.99567,0.9976,0.9728,0.99581
2022-10-28,0.98832,1.00937,0.98047,0.9963
2022-10-21,0.97223,0.98755,0.9703,0.9861
2022-10-14,0.97382,0.98086,0.9629,0.9719
2022-10-07,0.97954,0.99997,0.9725,0.9741
2022-09-30,0.96739,0.98539,0.9532,0.98003
2022-09-23,1.00141,1.0051,0.9664,0.969
2022-09-16,1.00913,1.01979,0.9943,1.0015
2022-09-09,0.99207,1.01134,0.9862,1.0039
2022-09-02,0.99556,1.0079,0.991,0.995
2022-08-26,1.00385,1.009,0.9899,0.9961
2022-08-19,1.02587,1.02683,1.003,1.0034
2022-08-12,1.01783,1.03687,1.0157,1.0258
2022-08-05,1.02182,1.02939,1.0121,1.0181
2022-07-29,1.02174,1.02579,1.0095,1.02248
2022-07-22,1.00829,1.02781,1.0077,1.021
2022-07-15,1.01791,1.01834,0.995,1.00843
2022-07-08,1.04206,1.04628,1.0071,1.0183
2022-07-01,1.05525,1.0615,1.0365,1.0428
2022-06-24,1.0487,1.06059,1.0467,1.0554
2022-06-17,1.05142,1.06014,1.0357,1.0498
2022-06-10,1.07188,1.07738,1.0504,1.0515
2022-06-03,1.07326,1.0787,1.0625,1.0719
2022-05-27,1.05583,1.07652,1.05571,1.07317
2022-05-20,1.03968,1.06073,1.0387,1.056
2022-05-13,1.05404,1.05924,1.0348,1.0412
2022-05-06,1.05464,1.06418,1.0481,1.0551
2022-04-29,1.08058,1.08153,1.0469,1.0541
2022-04-22,1.08069,1.09364,1.076,1.0794
2022-04-15,1.09083,1.09333,1.0756,1.0805
2022-04-08,1.1038,1.10544,1.0835,1.0875
2022-04-01,1.09836,1.11849,1.0943,1.1047
2022-03-25,1.10504,1.10703,1.0959,1.0982
